Departamentos;Muestras Claro;Muestras Personal;Muestras Movistar;THP Claro;THP Personal;THP Movistar;Latencia Claro;Latencia Mejor;Intensidad Claro;Intensidad Mejor;Tiempo IyV Claro;Tiempo IyV Mejor;Departamento;Provincia;Periodo
Caseros, SANTA FE;2,500,000;4,120,000;136,000;14.68;14.82;15.99;62;59;-101;-101;55;52;Caseros;SANTA FE;02/2024
Mendoza, MENDOZA;7,750,000;1,830,000;7,490,000;13.54;18.55;11.96;71;62;-97;-97;64;54;Mendoza;MENDOZA;02/2024
Caucete, SAN JUAN;838,000;333,000;1,110,000;11.78;12.47;12.08;82;72;-101;-101;74;67;Caucete;SAN JUAN;02/2024
Santa Lucía, SAN JUAN;844,000;979,000;2,440,000;14.41;17.59;10.63;72;64;-103;-100;63;57;Santa Lucía;SAN JUAN;02/2024
General Taboada, SANTIAGO DEL ESTERO;978,000;4,680,000;9,230;12.75;6.79;3.49;79;79;-100;-96;72;72;General Taboada;SANTIAGO DEL ESTERO;02/2024
Adolfo Gonzales Chaves, BUENOS AIRES;726,000;204,000;202,000;7.78;17.22;12.98;91;68;-96;-96;77;60;Adolfo Gonzales Chaves;BUENOS AIRES;02/2024
Antofagasta de la Sierra, CATAMARCA;170,000;2,050;--;0.99;0.81;--;1,539;1,243;-91;-91;1,343;1,097;Antofagasta de la Sierra;CATAMARCA;02/2024
Sarmiento, SAN JUAN;969,000;538,000;638,000;13.91;13.77;9.18;73;73;-99;-98;64;64;Sarmiento;SAN JUAN;02/2024
Humahuaca, JUJUY;519,000;2,980,000;4,560;7.49;10.43;7.83;107;81;-100;-84;106;80;Humahuaca;JUJUY;02/2024
Mburucuyá, CORRIENTES;313,000;664,000;2,880;13.22;7.01;1.35;80;80;-104;-96;72;72;Mburucuyá;CORRIENTES;02/2024
Goya, CORRIENTES;1,660,000;4,360,000;351,000;11.88;14.19;13.78;82;66;-99;-99;74;59;Goya;CORRIENTES;02/2024
Calamuchita, CÓRDOBA;9,840,000;4,360,000;640,000;9.45;13.48;7.41;70;66;-101;-100;70;61;Calamuchita;CÓRDOBA;02/2024
San Justo, SANTA FE;918,000;1,860,000;43,100;14.43;15.15;17.53;62;60;-101;-99;56;48;San Justo;SANTA FE;02/2024
Bahía Blanca, BUENOS AIRES;10,400,000;7,440,000;25,100,000;10.53;16.41;7.39;70;59;-101;-98;66;52;Bahía Blanca;BUENOS AIRES;02/2024
Castellanos, SANTA FE;5,230,000;7,350,000;230,000;15.26;15.18;13.59;62;62;-101;-100;55;55;Castellanos;SANTA FE;02/2024
Concepción, CORRIENTES;444,000;1,510,000;1,450;13.49;7.80;1.12;73;73;-98;-90;65;65;Concepción;CORRIENTES;02/2024
Añelo, NEUQUÉN;6,200,000;1,160,000;5,360,000;7.34;7.52;8.32;87;87;-99;-99;91;91;Añelo;NEUQUÉN;02/2024
La Caldera, SALTA;735,000;774,000;125,000;11.63;17.37;8.59;80;65;-104;-100;74;60;La Caldera;SALTA;02/2024
Chivilcoy, BUENOS AIRES;1,050,000;1,100,000;3,020,000;12.63;14.77;12.21;76;57;-98;-98;67;50;Chivilcoy;BUENOS AIRES;02/2024
Lanús, BUENOS AIRES;6,920,000;7,690,000;14,100,000;14.28;18.32;10.29;55;49;-99;-97;49;43;Lanús;BUENOS AIRES;02/2024
Río Hondo, SANTIAGO DEL ESTERO;2,510,000;4,750,000;557,000;16.58;16.01;9.44;62;62;-98;-97;53;53;Río Hondo;SANTIAGO DEL ESTERO;02/2024
Chical Co, LA PAMPA;1,500;--;--;10.99;--;--;110;110;-110;-110;116;116;Chical Co;LA PAMPA;02/2024
Coronel Felipe Varela, LA RIOJA;98,600;1,170,000;3,390;11.07;16.65;11.47;85;67;-97;-95;72;58;Coronel Felipe Varela;LA RIOJA;02/2024
Belén, CATAMARCA;1,230,000;2,270,000;6,830;10.46;10.65;1.73;94;83;-102;-97;86;81;Belén;CATAMARCA;02/2024
Saladillo, BUENOS AIRES;1,030,000;393,000;1,680,000;13.67;17.84;9.57;66;56;-101;-100;58;47;Saladillo;BUENOS AIRES;02/2024
Toay, LA PAMPA;608,000;82,500;413,000;13.59;18.46;14.16;72;59;-104;-102;62;51;Toay;LA PAMPA;02/2024
Gualeguaychú, ENTRE RÍOS;4,160,000;4,950,000;1,660,000;10.86;11.93;11.34;76;69;-101;-101;71;63;Gualeguaychú;ENTRE RÍOS;02/2024
Coronel de Marina Leonardo Rosales, BUENOS AIRES;1,520,000;2,550,000;3,180,000;14.17;16.75;12.33;63;63;-104;-101;56;56;Coronel de Marina Leonardo Rosales;BUENOS AIRES;02/2024
Malvinas Argentinas, BUENOS AIRES;8,080,000;9,150,000;13,900,000;15.23;17.27;10.33;55;52;-99;-98;48;45;Malvinas Argentinas;BUENOS AIRES;02/2024
Río Chico, TUCUMÁN;1,780,000;2,520,000;696,000;6.97;15.85;8.62;100;63;-102;-100;92;58;Río Chico;TUCUMÁN;02/2024
San Luis del Palmar, CORRIENTES;467,000;654,000;7,460;12.84;6.80;10.69;74;74;-101;-99;66;66;San Luis del Palmar;CORRIENTES;02/2024
General Angel V. Peñaloza, LA RIOJA;33,600;256,000;1,130;17.17;18.92;20.92;69;54;-93;-83;59;47;General Angel V. Peñaloza;LA RIOJA;02/2024
Independencia, LA RIOJA;65,100;157,000;824;16.39;19.90;20.87;69;55;-94;-79;59;50;Independencia;LA RIOJA;02/2024
Capital Federal, CIUDAD AUTÓNOMA DE BUENOS AIRES;67,300,000;90,800,000;123,000,000;15.01;18.80;13.45;52;49;-95;-95;45;42;Capital Federal;CIUDAD AUTÓNOMA DE BUENOS AIRES;02/2024
Lules, TUCUMÁN;2,360,000;3,730,000;393,000;13.55;16.41;10.22;72;62;-101;-101;65;57;Lules;TUCUMÁN;02/2024
Victoria, ENTRE RÍOS;1,660,000;2,590,000;298,000;10.65;13.23;8.39;69;67;-100;-100;64;61;Victoria;ENTRE RÍOS;02/2024
Pellegrini, SANTIAGO DEL ESTERO;31,900;2,100,000;73,200;15.26;3.42;10.22;74;74;-95;-95;64;64;Pellegrini;SANTIAGO DEL ESTERO;02/2024
San Pedro, JUJUY;3,910,000;9,320,000;461,000;12.56;14.72;7.55;77;70;-99;-99;70;66;San Pedro;JUJUY;02/2024
Baradero, BUENOS AIRES;1,620,000;3,250,000;270,000;12.19;12.45;10.93;60;60;-102;-102;56;56;Baradero;BUENOS AIRES;02/2024
Cruz Alta, TUCUMÁN;6,110,000;14,100,000;1,720,000;12.81;14.79;8.84;75;63;-101;-99;68;59;Cruz Alta;TUCUMÁN;02/2024
San Juan, SAN JUAN;3,470,000;2,180,000;7,990,000;15.21;19.92;12.13;69;60;-99;-94;61;53;San Juan;SAN JUAN;02/2024
9 de Julio, CHACO;86,900;2,170,000;1,580;16.60;10.50;16.26;73;69;-103;-90;63;62;9 de Julio;CHACO;02/2024
Corrientes, CORRIENTES;13,800,000;19,500,000;2,490,000;11.64;11.11;11.53;77;65;-100;-100;71;61;Corrientes;CORRIENTES;02/2024
Ensenada, BUENOS AIRES;576,000;2,570,000;4,060,000;12.58;16.57;10.78;57;54;-104;-102;52;49;Ensenada;BUENOS AIRES;02/2024
Ezeiza, BUENOS AIRES;6,340,000;5,190,000;12,000,000;14.83;19.12;10.32;54;50;-100;-100;48;43;Ezeiza;BUENOS AIRES;02/2024
Quitilipi, CHACO;272,000;2,650,000;41,500;15.18;8.96;14.14;72;67;-99;-95;63;63;Quitilipi;CHACO;02/2024
Coronel Pringles, SAN LUIS;1,600,000;92,000;177,000;11.22;16.17;10.24;88;75;-103;-102;81;67;Coronel Pringles;SAN LUIS;02/2024
Rivadavia, SALTA;261,000;2,760,000;166;9.83;10.28;--;102;89;-91;-91;93;84;Rivadavia;SALTA;02/2024
Yerba Buena, TUCUMÁN;2,520,000;2,980,000;448,000;14.43;19.85;9.48;69;57;-98;-98;61;51;Yerba Buena;TUCUMÁN;02/2024
La Viña, SALTA;169,000;1,910,000;44,800;12.47;10.63;12.15;76;76;-101;-95;70;70;La Viña;SALTA;02/2024
San Fernando, BUENOS AIRES;4,360,000;6,360,000;5,130,000;14.14;16.48;10.59;54;53;-98;-98;48;46;San Fernando;BUENOS AIRES;02/2024
Tapalqué, BUENOS AIRES;326,000;360,000;11,300;11.50;6.68;6.58;92;88;-101;-95;84;84;Tapalqué;BUENOS AIRES;02/2024
Pirané, FORMOSA;2,110,000;4,440,000;15,900;9.60;10.64;13.57;89;74;-99;-94;85;68;Pirané;FORMOSA;02/2024
Mayor Luis J. Fontana, CHACO;973,000;3,610,000;10,900;12.46;10.38;14.21;80;74;-104;-100;73;62;Mayor Luis J. Fontana;CHACO;02/2024
Guaymallén, MENDOZA;11,900,000;3,070,000;9,360,000;12.43;17.61;10.96;74;64;-101;-99;68;56;Guaymallén;MENDOZA;02/2024
Susques, JUJUY;29,400;128,000;--;1.41;0.54;--;983;983;-90;-90;931;781;Susques;JUJUY;02/2024
Avellaneda, SANTIAGO DEL ESTERO;610,000;2,740,000;15,100;11.63;12.77;10.52;81;68;-98;-93;71;66;Avellaneda;SANTIAGO DEL ESTERO;02/2024
Tapenagá, CHACO;58,600;123,000;--;17;20.76;--;69;51;-90;-89;58;42;Tapenagá;CHACO;02/2024
General Obligado, SANTA FE;4,090,000;6,130,000;199,000;14.40;14.65;15.93;67;65;-101;-101;60;54;General Obligado;SANTA FE;02/2024
Santiago del Estero, SANTIAGO DEL ESTERO;6,480,000;18,900,000;1,230,000;12.82;14.82;9.95;65;63;-100;-99;59;59;Santiago del Estero;SANTIAGO DEL ESTERO;02/2024
San Jerónimo, SANTA FE;2,300,000;4,380,000;346,000;12.37;15.44;13.55;70;58;-102;-99;64;50;San Jerónimo;SANTA FE;02/2024
Sargento Cabral, CHACO;82,000;1,220,000;2,100;16.24;13.60;15.10;67;67;-94;-94;58;58;Sargento Cabral;CHACO;02/2024
Iguazú, MISIONES;3,930,000;9,400,000;44,400;11.03;11.53;11.64;86;73;-100;-95;79;68;Iguazú;MISIONES;02/2024
Palpalá, JUJUY;1,750,000;2,390,000;221,000;11.83;11.43;8.84;80;75;-100;-100;73;73;Palpalá;JUJUY;02/2024
12 de Octubre, CHACO;85,200;2,110,000;2,420;14.15;14.46;13.45;75;65;-101;-98;66;58;12 de Octubre;CHACO;02/2024
Hucal, LA PAMPA;343,000;1,190;170,000;18.44;12;12.86;60;60;-97;-97;50;50;Hucal;LA PAMPA;02/2024
Colón, BUENOS AIRES;1,560,000;236,000;124,000;10.55;14.56;9.73;69;62;-103;-103;66;55;Colón;BUENOS AIRES;02/2024
Confluencia, NEUQUÉN;23,200,000;6,940,000;29,900,000;11.71;13.25;10.32;74;74;-101;-100;69;69;Confluencia;NEUQUÉN;02/2024
San Blas de los Sauces, LA RIOJA;65,700;384,000;3,380;13.29;14.89;5.39;87;72;-105;-105;78;64;San Blas de los Sauces;LA RIOJA;02/2024
25 de Mayo, MISIONES;85,300;1,150,000;448;12.47;8.79;--;92;87;-106;-106;82;82;25 de Mayo;MISIONES;02/2024
Leandro N. Alem, MISIONES;303,000;2,510,000;2,640;16.40;12.63;12.94;70;70;-97;-87;60;60;Leandro N. Alem;MISIONES;02/2024
Minas, NEUQUÉN;23,500;--;--;1.07;--;--;1,253;79;-101;-89;1,120;80;Minas;NEUQUÉN;02/2024
Las Heras, MENDOZA;5,970,000;2,680,000;6,720,000;12.69;15.45;11.34;76;66;-102;-101;69;57;Las Heras;MENDOZA;02/2024
La Cocha, TUCUMÁN;471,000;1,570,000;2,410;9.84;8.54;7.25;89;89;-99;-99;86;86;La Cocha;TUCUMÁN;02/2024
Loventué, LA PAMPA;347,000;2,390;346,000;12.28;11.14;6.33;81;72;-98;-94;72;72;Loventué;LA PAMPA;02/2024
Constitución, SANTA FE;3,400,000;3,390,000;277,000;11.69;17.21;12.31;66;56;-101;-100;61;48;Constitución;SANTA FE;02/2024
Santa María, CATAMARCA;346,000;2,050,000;183;9.65;7.20;--;76;76;-96;-95;72;72;Santa María;CATAMARCA;02/2024
Paso de los Libres, CORRIENTES;3,180,000;3,810,000;111,000;9.40;11.89;11.98;87;70;-99;-99;82;65;Paso de los Libres;CORRIENTES;02/2024
9 de Julio, SANTA FE;408,000;2,900,000;3,980;13.33;9.05;13.17;79;79;-96;-96;70;70;9 de Julio;SANTA FE;02/2024
Mercedes, BUENOS AIRES;1,610,000;959,000;3,090,000;10.91;12.29;8.45;87;63;-103;-103;81;52;Mercedes;BUENOS AIRES;02/2024
Güer Aike, SANTA CRUZ;7,170,000;1,350,000;8,140,000;11.71;12.88;10.52;84;84;-96;-96;76;76;Güer Aike;SANTA CRUZ;02/2024
General Manuel Belgrano, MISIONES;11,600;2,090,000;--;8.15;7.75;--;97;95;-87;-87;95;94;General Manuel Belgrano;MISIONES;02/2024
Rivadavia, SANTIAGO DEL ESTERO;217,000;247,000;570;16.74;18.60;9.45;66;66;-101;-95;57;57;Rivadavia;SANTIAGO DEL ESTERO;02/2024
Presidente Perón, BUENOS AIRES;2,560,000;1,030,000;2,410,000;13.02;14.03;8.55;61;59;-102;-102;56;53;Presidente Perón;BUENOS AIRES;02/2024
Tulumba, CÓRDOBA;846,000;1,760,000;17,600;14.84;18.36;8.71;59;57;-100;-86;51;50;Tulumba;CÓRDOBA;02/2024
Pilar, BUENOS AIRES;13,000,000;17,200,000;19,900,000;16.90;18.86;10.64;52;51;-99;-99;45;44;Pilar;BUENOS AIRES;02/2024
Ancasti, CATAMARCA;19,900;321,000;--;15.33;17.88;--;64;64;-108;-101;57;57;Ancasti;CATAMARCA;02/2024
Sauce, CORRIENTES;281,000;149,000;1,680;12.92;14.44;11.17;76;63;-93;-93;69;63;Sauce;CORRIENTES;02/2024
Lavalle, MENDOZA;1,680,000;1,130,000;150,000;9.03;8.26;6.21;87;87;-102;-101;84;84;Lavalle;MENDOZA;02/2024
Futaleufú, CHUBUT;893,000;143,000;3,980,000;9.33;15.24;8.27;100;76;-99;-99;94;67;Futaleufú;CHUBUT;02/2024
Chamical, LA RIOJA;606,000;780,000;21,600;13.32;14;11.56;75;67;-100;-100;67;61;Chamical;LA RIOJA;02/2024
Lihuel Calel, LA PAMPA;1,690;--;--;1.14;--;--;1,227;1,227;-92;-92;1,115;1,115;Lihuel Calel;LA PAMPA;02/2024
Vera, SANTA FE;1,340,000;1,890,000;28,400;13.50;17.28;18.68;67;58;-103;-96;61;48;Vera;SANTA FE;02/2024
Chalileo, LA PAMPA;52,500;--;--;15.04;--;--;79;79;-95;-95;70;70;Chalileo;LA PAMPA;02/2024
San Cristóbal, SANTA FE;2,300,000;4,180,000;13,300;13.44;13.54;13.33;72;71;-102;-102;65;64;San Cristóbal;SANTA FE;02/2024
Zárate, BUENOS AIRES;3,590,000;9,790,000;7,210,000;16.86;16.41;11.03;56;55;-101;-101;48;48;Zárate;BUENOS AIRES;02/2024
Valle Fértil, SAN JUAN;104,000;18,400;961,000;1.06;0.57;3.64;1,395;110;-97;-93;1,263;91;Valle Fértil;SAN JUAN;02/2024
Belgrano, SANTIAGO DEL ESTERO;59,800;1,150,000;--;16.94;17.07;--;72;62;-96;-96;61;56;Belgrano;SANTIAGO DEL ESTERO;02/2024
San Lorenzo, SANTA FE;10,500,000;10,000,000;2,520,000;9.55;12.67;12.10;77;62;-101;-101;76;56;San Lorenzo;SANTA FE;02/2024
Ramón Lista, FORMOSA;16,300;916,000;--;2.10;9.65;--;662;92;-88;-88;701;87;Ramón Lista;FORMOSA;02/2024
General Lamadrid, LA RIOJA;6,270;247,000;--;15.01;19.64;--;77;58;-102;-100;67;49;General Lamadrid;LA RIOJA;02/2024
General Belgrano, BUENOS AIRES;1,150,000;265,000;265,000;11.49;12.04;12;68;66;-101;-101;63;58;General Belgrano;BUENOS AIRES;02/2024
Monte, BUENOS AIRES;966,000;548,000;1,710,000;13.55;16.59;5.72;61;57;-104;-101;54;49;Monte;BUENOS AIRES;03/2024
Mitre, SANTIAGO DEL ESTERO;130;87,800;--;--;18.23;--;88;70;-112;-102;85;58;Mitre;SANTIAGO DEL ESTERO;03/2024
Ituzaingó, CORRIENTES;2,710,000;2,890,000;8,750;8.33;9.52;13.32;100;77;-102;-99;98;68;Ituzaingó;CORRIENTES;03/2024
General Lavalle, BUENOS AIRES;134,000;95,000;543,000;13.87;21.28;15.88;72;53;-104;-98;63;45;General Lavalle;BUENOS AIRES;03/2024
Valle Viejo, CATAMARCA;1,340,000;1,590,000;127,000;13.25;13.67;10.83;78;68;-100;-100;69;63;Valle Viejo;CATAMARCA;03/2024
Tordillo, BUENOS AIRES;110,000;175,000;266,000;16.16;25.88;10.89;62;47;-102;-98;53;39;Tordillo;BUENOS AIRES;03/2024
Totoral, CÓRDOBA;958,000;1,690,000;15,500;13.73;14.52;11.49;67;64;-102;-101;60;60;Totoral;CÓRDOBA;03/2024
Coronel Suárez, BUENOS AIRES;757,000;538,000;1,700,000;17.03;20.23;9.16;61;57;-101;-100;52;49;Coronel Suárez;BUENOS AIRES;03/2024
Chilecito, LA RIOJA;545,000;5,830,000;7,840;12.96;12.49;7.43;89;72;-99;-99;78;66;Chilecito;LA RIOJA;03/2024
Tupungato, MENDOZA;3,000,000;426,000;1,170,000;7.30;12.43;10.07;91;76;-102;-102;95;67;Tupungato;MENDOZA;03/2024
Suipacha, BUENOS AIRES;505,000;76,200;158,000;11.22;18.70;8.33;83;51;-102;-102;76;42;Suipacha;BUENOS AIRES;03/2024
Villa Gesell, BUENOS AIRES;1,850,000;1,640,000;4,860,000;17.32;21.38;11.25;61;53;-100;-99;51;44;Villa Gesell;BUENOS AIRES;03/2024
Avellaneda, RÍO NEGRO;5,040,000;690,000;659,000;10.36;14.55;11.56;79;73;-97;-97;71;64;Avellaneda;RÍO NEGRO;03/2024
Arrecifes, BUENOS AIRES;1,730,000;308,000;264,000;14.54;17.35;15.16;65;60;-101;-101;57;51;Arrecifes;BUENOS AIRES;03/2024
Moreno, SANTIAGO DEL ESTERO;120,000;4,790,000;10,200;14.71;8.89;7.31;79;79;-97;-89;69;69;Moreno;SANTIAGO DEL ESTERO;03/2024
General Alvear, CORRIENTES;161,000;940,000;750;13.20;8.10;13.89;76;67;-100;-99;67;62;General Alvear;CORRIENTES;03/2024
9 de Julio, RÍO NEGRO;12,300;--;283;1.55;--;--;766;86;-88;-88;748;85;9 de Julio;RÍO NEGRO;03/2024
General Donovan, CHACO;212,000;1,020,000;1,700;16.38;13.45;8.65;71;68;-97;-91;61;61;General Donovan;CHACO;03/2024
Fray Mamerto Esquiú, CATAMARCA;723,000;387,000;55,400;14.15;14.89;11.64;76;67;-102;-99;68;59;Fray Mamerto Esquiú;CATAMARCA;03/2024
San Antonio de Areco, BUENOS AIRES;745,000;462,000;897,000;12.20;12.96;8.14;69;63;-101;-101;62;57;San Antonio de Areco;BUENOS AIRES;03/2024
Bermejo, FORMOSA;171,000;1,630,000;169;13.16;10.61;--;78;78;-90;-90;69;69;Bermejo;FORMOSA;03/2024
Catán Lil, NEUQUÉN;--;--;20,400;--;--;1.04;--;--;--;--;--;--;Catán Lil;NEUQUÉN;03/2024
Chos Malal, NEUQUÉN;745,000;38,600;567,000;11.69;13.39;12.50;84;80;-102;-94;76;70;Chos Malal;NEUQUÉN;03/2024
Ullum, SAN JUAN;223,000;133,000;121,000;13.44;16.35;8.43;78;69;-106;-97;69;57;Ullum;SAN JUAN;03/2024
Lácar, NEUQUÉN;1,810,000;587,000;1,810,000;11.44;9.64;11.96;86;86;-101;-97;79;79;Lácar;NEUQUÉN;03/2024
Aluminé, NEUQUÉN;103,000;528;671,000;1.59;4.31;11.22;1,001;84;-94;-94;898;77;Aluminé;NEUQUÉN;03/2024
Oberá, MISIONES;933,000;4,870,000;110,000;11.35;12.62;14.74;93;74;-102;-102;85;63;Oberá;MISIONES;03/2024
General Guido, BUENOS AIRES;105,000;42,900;182,000;14.05;20.18;15.02;77;57;-100;-98;67;49;General Guido;BUENOS AIRES;03/2024
Tafí del Valle, TUCUMÁN;1,060,000;2,290,000;69,000;10.93;8;9.89;98;90;-101;-101;91;81;Tafí del Valle;TUCUMÁN;03/2024
Catriló, LA PAMPA;678,000;98,000;154,000;15.29;13.80;13.38;64;64;-100;-94;56;56;Catriló;LA PAMPA;03/2024
Lincoln, BUENOS AIRES;2,570,000;506,000;448,000;13.89;13.80;15.05;65;58;-101;-101;57;48;Lincoln;BUENOS AIRES;03/2024
Deseado, SANTA CRUZ;13,600,000;593,000;8,420,000;8.74;16.42;10.19;90;77;-100;-96;85;66;Deseado;SANTA CRUZ;03/2024
Bella Vista, CORRIENTES;501,000;2,180,000;14,900;15.61;11.07;14.16;73;71;-100;-100;63;60;Bella Vista;CORRIENTES;03/2024
Curacó, LA PAMPA;39,000;108;279;1.48;--;--;959;74;-93;-93;887;65;Curacó;LA PAMPA;03/2024
Saladas, CORRIENTES;478,000;1,870,000;11,200;11.81;8.41;16.14;82;67;-101;-101;74;59;Saladas;CORRIENTES;03/2024
Carmen de Areco, BUENOS AIRES;621,000;502,000;965,000;10.91;18.61;9.70;76;53;-99;-99;71;45;Carmen de Areco;BUENOS AIRES;03/2024
Gaiman, CHUBUT;1,040,000;29,100;161,000;11.39;6.63;13.49;80;74;-104;-102;73;66;Gaiman;CHUBUT;03/2024
Famatina, LA RIOJA;8,560;450,000;--;2.26;18.61;--;619;64;-96;-96;635;55;Famatina;LA RIOJA;03/2024
Villarino, BUENOS AIRES;1,880,000;871,000;1,630,000;13.73;17.63;14.45;64;62;-101;-98;57;54;Villarino;BUENOS AIRES;03/2024
Vicente López, BUENOS AIRES;5,030,000;6,720,000;7,150,000;14.57;18.98;14.28;52;49;-97;-97;45;43;Vicente López;BUENOS AIRES;03/2024
Magdalena, BUENOS AIRES;473,000;275,000;666,000;14.46;6.82;7.67;61;61;-102;-102;53;53;Magdalena;BUENOS AIRES;03/2024
San Martín, CORRIENTES;617,000;1,150,000;2,780;13.26;6.38;3.07;80;80;-100;-98;72;72;San Martín;CORRIENTES;03/2024
Necochea, BUENOS AIRES;3,860,000;1,320,000;2,310,000;13.23;17.27;12.63;70;63;-100;-100;62;55;Necochea;BUENOS AIRES;03/2024
Rosario, SANTA FE;34,500,000;42,100,000;19,500,000;12.75;14.33;13.92;65;60;-101;-101;58;53;Rosario;SANTA FE;03/2024
Paraná, ENTRE RÍOS;5,760,000;17,100,000;2,340,000;11.68;11.32;12.72;75;68;-102;-101;69;61;Paraná;ENTRE RÍOS;03/2024
Feliciano, ENTRE RÍOS;386,000;319,000;2,850;10.80;17.07;15.04;89;54;-103;-95;83;45;Feliciano;ENTRE RÍOS;03/2024
Bragado, BUENOS AIRES;2,040,000;236,000;415,000;11.17;18.63;13.24;79;54;-99;-99;71;45;Bragado;BUENOS AIRES;03/2024
Esteban Echeverría, BUENOS AIRES;7,440,000;10,000,000;12,000,000;15.04;15.54;10.07;55;55;-101;-101;47;47;Esteban Echeverría;BUENOS AIRES;03/2024
Telsen, CHUBUT;60,300;108;--;1.41;--;--;968;65;-95;-95;907;54;Telsen;CHUBUT;03/2024
Guachipas, SALTA;21,300;516,000;189;14.69;10.14;--;78;66;-87;-87;67;55;Guachipas;SALTA;03/2024
Ojo de Agua, SANTIAGO DEL ESTERO;7,710;2,210,000;2,580;5.56;5.17;3.34;132;106;-95;-95;130;112;Ojo de Agua;SANTIAGO DEL ESTERO;03/2024
General Paz, BUENOS AIRES;585,000;145,000;436,000;13.34;16.77;4.72;63;52;-100;-97;56;43;General Paz;BUENOS AIRES;03/2024
Santa Victoria, SALTA;99,300;41,500;--;1.38;0.34;--;1,209;1,209;-102;-102;1,106;782;Santa Victoria;SALTA;03/2024
Independencia, CHACO;246,000;1,350,000;2,120;13.51;10.46;7.83;74;74;-101;-96;66;66;Independencia;CHACO;03/2024
Rancul, LA PAMPA;499,000;33,300;214,000;17.61;17.91;11.23;60;60;-98;-94;51;51;Rancul;LA PAMPA;03/2024
Rivadavia, SAN JUAN;1,890,000;1,630,000;2,880,000;15.11;18.40;11.15;70;64;-100;-98;62;56;Rivadavia;SAN JUAN;03/2024
Rauch, BUENOS AIRES;1,020,000;116,000;347,000;10.43;20.59;10.37;100;60;-100;-99;92;50;Rauch;BUENOS AIRES;03/2024
Maipú, BUENOS AIRES;693,000;195,000;360,000;13.77;21.89;12.69;69;54;-101;-97;61;45;Maipú;BUENOS AIRES;03/2024
San Javier, MISIONES;14,200;1,150,000;10,800;9.22;10.18;1.47;99;83;-107;-96;93;76;San Javier;MISIONES;03/2024
Carlos Casares, BUENOS AIRES;978,000;301,000;356,000;12.61;13.98;7.87;66;65;-104;-104;60;58;Carlos Casares;BUENOS AIRES;03/2024
Pocito, SAN JUAN;1,490,000;1,310,000;2,760,000;13.69;15.53;9.46;75;67;-103;-100;67;60;Pocito;SAN JUAN;03/2024
Pilcaniyeu, RÍO NEGRO;188,000;85,400;444,000;9.72;12.43;10.82;112;76;-96;-96;92;69;Pilcaniyeu;RÍO NEGRO;03/2024
Valcheta, RÍO NEGRO;69,000;1,600;192,000;1.74;11.48;12.92;788;74;-98;-92;775;66;Valcheta;RÍO NEGRO;03/2024
Lago Buenos Aires, SANTA CRUZ;1,470,000;6,390;463,000;11.58;5.25;11.85;87;84;-98;-94;78;73;Lago Buenos Aires;SANTA CRUZ;03/2024
Juárez Celman, CÓRDOBA;4,250,000;1,870,000;97,100;14.25;21.46;12.03;68;56;-99;-99;59;47;Juárez Celman;CÓRDOBA;03/2024
General Alvarado, BUENOS AIRES;2,570,000;725,000;1,700,000;12.70;18.56;13.19;67;58;-102;-102;60;50;General Alvarado;BUENOS AIRES;03/2024
Rinconada, JUJUY;--;193,000;--;--;11.04;--;--;--;--;--;--;--;Rinconada;JUJUY;03/2024
Jáchal, SAN JUAN;245,000;59,600;1,340,000;15.90;11.97;10.52;68;68;-99;-96;58;58;Jáchal;SAN JUAN;03/2024
Adolfo Alsina, RÍO NEGRO;1,470,000;863,000;5,410,000;13.89;13.87;11.25;65;62;-98;-98;57;53;Adolfo Alsina;RÍO NEGRO;03/2024
General Lamadrid, BUENOS AIRES;536,000;3,500;122,000;12.26;14.73;13.84;68;68;-101;-95;59;59;General Lamadrid;BUENOS AIRES;03/2024
Berón de Astrada, CORRIENTES;228,000;148,000;257;13.02;14.78;--;76;71;-101;-95;68;63;Berón de Astrada;CORRIENTES;03/2024
Santa Rosa, MENDOZA;821,000;566,000;19,200;11.37;15.26;8.49;89;77;-106;-104;82;67;Santa Rosa;MENDOZA;03/2024
Chacabuco, CHACO;245,000;2,690,000;1,100;14.92;10.66;14.18;77;71;-101;-98;68;62;Chacabuco;CHACO;03/2024
Angaco, SAN JUAN;296,000;113,000;27,300;15.15;6.73;10.62;72;72;-100;-100;64;64;Angaco;SAN JUAN;03/2024
Santa María, CÓRDOBA;7,870,000;8,630,000;880,000;12;15.37;10.26;72;60;-102;-98;66;54;Santa María;CÓRDOBA;03/2024
Salavina, SANTIAGO DEL ESTERO;290;917,000;--;--;16.42;--;101;65;-108;-96;100;57;Salavina;SANTIAGO DEL ESTERO;03/2024
Patagones, BUENOS AIRES;1,500,000;408,000;2,020,000;15.32;17.95;12.14;64;60;-100;-99;56;51;Patagones;BUENOS AIRES;03/2024
Pocho, CÓRDOBA;16,400;456,000;173;15.15;18.02;--;61;59;-98;-98;52;50;Pocho;CÓRDOBA;03/2024
Ayacucho, BUENOS AIRES;1,050,000;271,000;403,000;10.82;14.07;10.95;79;71;-102;-99;73;64;Ayacucho;BUENOS AIRES;03/2024
General Belgrano, CHACO;74,300;587,000;2,420;14.87;13.14;11.14;76;66;-104;-99;66;60;General Belgrano;CHACO;03/2024
