Departamentos;Muestras Claro;Muestras Personal;Muestras Movistar;THP Claro;THP Personal;THP Movistar;Latencia Claro;Latencia Mejor;Intensidad Claro;Intensidad Mejor;Tiempo IyV Claro;Tiempo IyV Mejor;Departamento;Provincia;Periodo
Tilcara, JUJUY;691,000;3,830,000;17,000;2.52;8.39;4.03;123;93;-103;-97;183;101;Tilcara;JUJUY;07/2024
Rosario Vera Peñaloza, LA RIOJA;116,000;1,290,000;429;1.65;20.07;11.76;928;54;-88;-88;903;49;Rosario Vera Peñaloza;LA RIOJA;07/2024
Conesa, RÍO NEGRO;284,000;96,700;954,000;15.20;15.97;12.40;60;60;-94;-91;54;54;Conesa;RÍO NEGRO;07/2024
Andalgalá, CATAMARCA;371,000;4,360,000;820;18.93;12.99;2.80;62;62;-99;-99;54;54;Andalgalá;CATAMARCA;07/2024
Tafí Viejo, TUCUMÁN;10,700,000;18,800,000;2,300,000;14.20;15.94;8.97;67;56;-98;-98;62;56;Tafí Viejo;TUCUMÁN;07/2024
Rosario de la Frontera, SALTA;970,000;4,600,000;73,200;10.34;10.99;14.23;77;73;-102;-99;77;73;Rosario de la Frontera;SALTA;07/2024
Los Lagos, NEUQUÉN;2,210,000;649,000;3,790,000;8.30;9.25;11.65;89;80;-103;-98;95;82;Los Lagos;NEUQUÉN;07/2024
Choya, SANTIAGO DEL ESTERO;3,800,000;4,260,000;310,000;10.28;13.99;7.12;70;65;-96;-96;67;65;Choya;SANTIAGO DEL ESTERO;07/2024
La Poma, SALTA;47,900;20,900;--;1.11;0.70;--;1,215;1,159;-90;-88;1,114;990;La Poma;SALTA;07/2024
La Candelaria, SALTA;201,000;2,530,000;2,450;11.02;12.82;19.74;71;56;-100;-84;68;55;La Candelaria;SALTA;07/2024
Corpen Aike, SANTA CRUZ;1,320,000;242,000;1,810,000;12.07;12.45;10.51;86;80;-103;-95;81;76;Corpen Aike;SANTA CRUZ;07/2024
Punta Indio, BUENOS AIRES;835,000;305,000;20,300;17.59;20.92;12.02;50;46;-101;-99;45;41;Punta Indio;BUENOS AIRES;07/2024
General José de San Martín, SALTA;7,640,000;22,800,000;505,000;10.25;12.85;11.35;103;75;-99;-99;99;73;General José de San Martín;SALTA;07/2024
Paclín, CATAMARCA;248,000;507,000;974;9.04;17.37;11.29;110;64;-103;-102;109;58;Paclín;CATAMARCA;07/2024
Laprida, BUENOS AIRES;536,000;4,570;1,110,000;12.11;9.46;13.84;69;66;-102;-97;67;62;Laprida;BUENOS AIRES;07/2024
Coronel Dorrego, BUENOS AIRES;824,000;542,000;2,180,000;15.70;19.24;11.80;67;54;-101;-99;61;50;Coronel Dorrego;BUENOS AIRES;07/2024
San Ignacio, MISIONES;1,840,000;5,700,000;83,600;15.93;11.94;14.96;67;66;-101;-101;62;60;San Ignacio;MISIONES;07/2024
Río Segundo, CÓRDOBA;15,000,000;5,740,000;514,000;15.55;21.54;13.17;55;48;-99;-99;53;46;Río Segundo;CÓRDOBA;07/2024
Itatí, CORRIENTES;892,000;2,880,000;4,210;9.45;8.31;6.81;79;73;-99;-97;82;82;Itatí;CORRIENTES;07/2024
Exaltación de la Cruz, BUENOS AIRES;4,130,000;2,130,000;2,300,000;11.21;14.66;15.54;62;49;-102;-102;63;45;Exaltación de la Cruz;BUENOS AIRES;07/2024
Pomán, CATAMARCA;842,000;2,870,000;666;13.83;11.42;7.61;68;64;-100;-95;62;62;Pomán;CATAMARCA;07/2024
Maipú, CHACO;347,000;2,750,000;8,500;15.56;10.44;11.44;69;69;-101;-96;63;63;Maipú;CHACO;07/2024
Loncopué, NEUQUÉN;172,000;43,400;1,540,000;1.33;14.25;9.10;1,138;75;-90;-81;1,103;68;Loncopué;NEUQUÉN;07/2024
Tandil, BUENOS AIRES;7,250,000;7,610,000;8,950,000;13.50;14.73;11.27;68;60;-100;-99;66;58;Tandil;BUENOS AIRES;07/2024
Sobremonte, CÓRDOBA;217,000;607,000;225;15.24;19.02;--;52;52;-97;-97;50;50;Sobremonte;CÓRDOBA;07/2024
Presidente Roque Sáenz Peña, CÓRDOBA;4,880,000;3,210,000;31,400;13.52;18.63;11.40;70;57;-98;-98;67;55;Presidente Roque Sáenz Peña;CÓRDOBA;07/2024
San Carlos, MENDOZA;3,340,000;410,000;1,090,000;11.18;15.21;12;73;71;-102;-101;72;66;San Carlos;MENDOZA;07/2024
